Year,Rhode Island
1960,20
1961,15
1962,18
1963,20
1964,25
1965,35
1966,45
1967,43
1968,34
1969,36
1970,34
1971,54
1972,80
1973,81
1974,69
1975,101
1976,79
1977,98
1978,103
1979,141
1980,162
1981,170
1982,186
1983,160
1984,205
1985,253
1986,209
1987,241
1988,303
1989,266
1990,248
1991,310
1992,311
1993,286
1994,273
1995,267
1996,287
1997,363
1998,351
1999,391
2000,412
2001,416
2002,395
2003,505
2004,320
2005,323
2006,289
2007,258
2008,282
2009,296
2010,298
2011,319
2012,292
2013,333
2014,253
